Date,Estimated variable mortgage rate
2020-10-29,1.87
2020-10-22,1.87
2020-10-15,1.87
2020-10-08,1.91
2020-10-01,1.91
2020-09-24,1.92
2020-09-17,1.93
2020-09-10,1.93
2020-09-03,1.93
2020-08-27,1.93
2020-08-20,1.92
2020-08-13,1.96
2020-08-06,2.04
2020-07-30,2.03
2020-07-23,1.97
2020-07-16,1.99
2020-07-09,2.05
2020-07-02,2.06
2020-06-25,2.06
2020-06-18,2.06
2020-06-11,2.14
2020-06-04,2.19
2020-05-28,2.23
2020-05-21,2.23
2020-05-14,2.25
2020-05-07,2.25
2020-04-30,2.25
2020-04-23,2.26
2020-04-16,2.27
2020-04-09,2.47
2020-04-02,2.46
2020-03-26,2.5
2020-03-19,2.33
2020-03-12,2.72
2020-03-05,2.89
2020-02-27,2.89
2020-02-20,2.89
2020-02-13,2.89
2020-02-06,2.89
2020-01-30,2.89
2020-01-23,2.89
2020-01-16,2.9
2020-01-09,2.9
2020-01-02,2.9
2019-12-26,2.9
2019-12-19,2.9
2019-12-12,2.9
2019-12-05,2.9
2019-11-28,2.9
2019-11-21,2.9
2019-11-14,2.9
2019-11-07,2.9
2019-10-31,2.9
2019-10-24,2.9
2019-10-17,2.9
2019-10-10,2.9
2019-10-03,2.9
2019-09-26,2.9
2019-09-19,2.9
2019-09-12,2.9
2019-09-05,2.9
2019-08-29,2.9
2019-08-22,2.9
2019-08-15,2.9
2019-08-08,2.9
2019-08-01,2.9
2019-07-25,2.9
2019-07-18,2.9
2019-07-11,2.9
2019-07-04,2.9
2019-06-27,2.9
2019-06-20,2.9
2019-06-13,2.9
2019-06-06,2.9
2019-05-30,2.9
2019-05-23,2.87
2019-05-16,2.88
2019-05-09,2.88
2019-05-02,2.88
2019-04-25,2.88
2019-04-18,2.88
2019-04-11,2.88
2019-04-04,2.88
2019-03-28,2.88
2019-03-21,2.89
2019-03-14,2.89
2019-03-07,2.89
2019-02-28,2.89
2019-02-21,2.78
2019-02-14,2.78
2019-02-07,2.78
2019-01-31,2.78
2019-01-24,2.77
2019-01-17,2.77
2019-01-10,2.76
2019-01-03,2.76
